edge_id,edge_type,from_node,to_node,from_type,to_type,properties
CUS_REL_0001,IS_CUSTOMER,CUS_001,SUP_011,Company,Company,客户关系-中国建筑股份有限公司是特变电工股份有限公司的客户
CUS_REL_0002,IS_CUSTOMER,CUS_001,ORG_005,Company,Company,客户关系-中国建筑股份有限公司是国家电网有限公司的客户
CUS_REL_0003,IS_CUSTOMER,CUS_016,SUP_009,Company,Company,客户关系-金地(集团)股份有限公司是中国有色金属建设股份有限公司的客户
CUS_REL_0004,IS_CUSTOMER,CUS_022,SUP_017,Company,Company,客户关系-杭州滨江房产集团股份有限公司是东方电气股份有限公司的客户
CUS_REL_0005,IS_CUSTOMER,CUS_021,CP_009,Company,Company,客户关系-华夏幸福基业股份有限公司是启迪设计集团股份有限公司的客户
CUS_REL_0006,IS_CUSTOMER,CUS_017,CP_001,Company,Company,客户关系-珠海华发实业股份有限公司是华东建筑集团股份有限公司的客户
CUS_REL_0007,IS_CUSTOMER,CUS_026,CP_005,Company,Company,客户关系-南京栖霞建设股份有限公司是深圳市建筑科学研究院股份有限公司的客户
CUS_REL_0008,IS_CUSTOMER,CUS_017,SUP_012,Company,Company,客户关系-珠海华发实业股份有限公司是上海振华重工(集团)股份有限公司的客户
CUS_REL_0009,IS_CUSTOMER,CUS_004,CUS_011,Company,Company,客户关系-中国交通建设股份有限公司是万科企业股份有限公司的客户
CUS_REL_0010,IS_CUSTOMER,CUS_011,CUS_004,Company,Company,客户关系-万科企业股份有限公司是中国交通建设股份有限公司的客户
CUS_REL_0011,IS_CUSTOMER,CUS_012,SUP_028,Company,Company,客户关系-保利发展控股集团股份有限公司是福耀玻璃工业集团股份有限公司的客户
CUS_REL_0012,IS_CUSTOMER,CUS_025,SUP_017,Company,Company,客户关系-北京首都开发股份有限公司是东方电气股份有限公司的客户
CUS_REL_0013,IS_CUSTOMER,CUS_015,SUP_030,Company,Company,客户关系-绿地控股集团股份有限公司是万华化学集团股份有限公司的客户
CUS_REL_0014,IS_CUSTOMER,CUS_017,ORG_005,Company,Company,客户关系-珠海华发实业股份有限公司是国家电网有限公司的客户
CUS_REL_0015,IS_CUSTOMER,CUS_017,CUS_014,Company,Company,客户关系-珠海华发实业股份有限公司是深圳华侨城股份有限公司的客户
CUS_REL_0016,IS_CUSTOMER,CUS_014,CUS_017,Company,Company,客户关系-深圳华侨城股份有限公司是珠海华发实业股份有限公司的客户
CUS_REL_0017,IS_CUSTOMER,CUS_004,ORG_009,Company,Company,客户关系-中国交通建设股份有限公司是中国石油天然气集团有限公司的客户
CUS_REL_0018,IS_CUSTOMER,CUS_020,CP_009,Company,Company,客户关系-珠海珠免集团股份有限公司是启迪设计集团股份有限公司的客户
CUS_REL_0019,IS_CUSTOMER,CUS_026,SUP_029,Company,Company,客户关系-南京栖霞建设股份有限公司是中国振华(集团)科技股份有限公司的客户
CUS_REL_0020,IS_CUSTOMER,CUS_013,CP_010,Company,Company,客户关系-招商局蛇口工业区控股股份有限公司是河北中瓷电子科技股份有限公司的客户
CUS_REL_0021,IS_CUSTOMER,CUS_003,SUP_025,Company,Company,客户关系-中国中铁股份有限公司是永兴特种材料科技股份有限公司的客户
CUS_REL_0022,IS_CUSTOMER,CUS_029,CP_010,Company,Company,客户关系-北京万通新发展集团股份有限公司是河北中瓷电子科技股份有限公司的客户
CUS_REL_0023,IS_CUSTOMER,CUS_021,SUP_011,Company,Company,客户关系-华夏幸福基业股份有限公司是特变电工股份有限公司的客户
CUS_REL_0024,IS_CUSTOMER,CUS_029,SUP_021,Company,Company,客户关系-北京万通新发展集团股份有限公司是北京东方雨虹防水技术股份有限公司的客户
CUS_REL_0025,IS_CUSTOMER,CUS_004,ORG_001,Company,Company,客户关系-中国交通建设股份有限公司是中国建筑集团有限公司的客户
CUS_REL_0026,IS_CUSTOMER,CUS_022,ORG_019,Company,Company,客户关系-杭州滨江房产集团股份有限公司是国电电力发展股份有限公司的客户
CUS_REL_0027,IS_CUSTOMER,CUS_027,CUS_005,Company,Company,客户关系-上海陆家嘴金融贸易区开发股份有限公司是中国冶金科工股份有限公司的客户
CUS_REL_0028,IS_CUSTOMER,CUS_005,CUS_027,Company,Company,客户关系-中国冶金科工股份有限公司是上海陆家嘴金融贸易区开发股份有限公司的客户
CUS_REL_0029,IS_CUSTOMER,CUS_020,CUS_001,Company,Company,客户关系-珠海珠免集团股份有限公司是中国建筑股份有限公司的客户
CUS_REL_0030,IS_CUSTOMER,CUS_001,CUS_020,Company,Company,客户关系-中国建筑股份有限公司是珠海珠免集团股份有限公司的客户
