edge_id,edge_type,from_node,to_node,from_type,to_type,properties
CUS_REL_0001,IS_CUSTOMER,CUS_001,CUS_020,Company,Company,客户关系-华润置地发展是佳兆业集团的客户
CUS_REL_0002,IS_CUSTOMER,CUS_001,CUS_023,Company,Company,客户关系-华润置地发展是荣盛发展的客户
CUS_REL_0003,IS_CUSTOMER,CUS_001,ORG_005,Company,Company,客户关系-华润置地发展是国家电网集团公司的客户
CUS_REL_0004,IS_CUSTOMER,CUS_001,SUP_011,Company,Company,客户关系-华润置地发展是中天建筑材料的客户
CUS_REL_0005,IS_CUSTOMER,CUS_003,CUS_029,Company,Company,客户关系-碧桂园地产是花样年控股的客户
CUS_REL_0006,IS_CUSTOMER,CUS_003,CUS_030,Company,Company,客户关系-碧桂园地产是当代置业的客户
CUS_REL_0007,IS_CUSTOMER,CUS_003,SUP_001,Company,Company,客户关系-碧桂园地产是华信建材有限公司的客户
CUS_REL_0008,IS_CUSTOMER,CUS_003,SUP_024,Company,Company,客户关系-碧桂园地产是华美电气设备的客户
CUS_REL_0009,IS_CUSTOMER,CUS_003,SUP_025,Company,Company,客户关系-碧桂园地产是金鼎建筑器材的客户
CUS_REL_0010,IS_CUSTOMER,CUS_004,CUS_011,Company,Company,客户关系-恒大地产集团是金地集团的客户
CUS_REL_0011,IS_CUSTOMER,CUS_004,CUS_028,Company,Company,客户关系-恒大地产集团是奥园集团的客户
CUS_REL_0012,IS_CUSTOMER,CUS_004,ORG_001,Company,Company,客户关系-恒大地产集团是中央建设集团有限公司的客户
CUS_REL_0013,IS_CUSTOMER,CUS_004,ORG_009,Company,Company,客户关系-恒大地产集团是中国石油天然气集团的客户
CUS_REL_0014,IS_CUSTOMER,CUS_005,CUS_027,Company,Company,客户关系-融创中国地产是合景泰富的客户
CUS_REL_0015,IS_CUSTOMER,CUS_006,CUS_020,Company,Company,客户关系-保利发展控股是佳兆业集团的客户
CUS_REL_0016,IS_CUSTOMER,CUS_006,SUP_027,Company,Company,客户关系-保利发展控股是天宇建材供应的客户
CUS_REL_0017,IS_CUSTOMER,CUS_010,CUS_029,Company,Company,客户关系-世茂房地产是花样年控股的客户
CUS_REL_0018,IS_CUSTOMER,CUS_011,CUS_004,Company,Company,客户关系-金地集团是恒大地产集团的客户
CUS_REL_0019,IS_CUSTOMER,CUS_011,ORG_019,Company,Company,客户关系-金地集团是中能华东建设公司的客户
CUS_REL_0020,IS_CUSTOMER,CUS_011,SUP_029,Company,Company,客户关系-金地集团是鑫达建筑材料的客户
CUS_REL_0021,IS_CUSTOMER,CUS_012,CP_007,Company,Company,客户关系-招商蛇口是工程测绘服务的客户
CUS_REL_0022,IS_CUSTOMER,CUS_012,SUP_028,Company,Company,客户关系-招商蛇口是博瑞工程设备的客户
CUS_REL_0023,IS_CUSTOMER,CUS_013,CP_010,Company,Company,客户关系-华夏幸福基业是建筑金融服务的客户
CUS_REL_0024,IS_CUSTOMER,CUS_013,CUS_025,Company,Company,客户关系-华夏幸福基业是富力地产的客户
CUS_REL_0025,IS_CUSTOMER,CUS_014,CUS_017,Company,Company,客户关系-新城控股是中南置地的客户
CUS_REL_0026,IS_CUSTOMER,CUS_015,CP_009,Company,Company,客户关系-阳光城集团是工程保险代理的客户
CUS_REL_0027,IS_CUSTOMER,CUS_015,CUS_025,Company,Company,客户关系-阳光城集团是富力地产的客户
CUS_REL_0028,IS_CUSTOMER,CUS_015,SUP_030,Company,Company,客户关系-阳光城集团是恒信机械设备的客户
CUS_REL_0029,IS_CUSTOMER,CUS_016,SUP_009,Company,Company,客户关系-旭辉控股是金石建材供应的客户
CUS_REL_0030,IS_CUSTOMER,CUS_017,CP_001,Company,Company,客户关系-中南置地是中建设计研究院的客户
CUS_REL_0031,IS_CUSTOMER,CUS_017,CP_010,Company,Company,客户关系-中南置地是建筑金融服务的客户
CUS_REL_0032,IS_CUSTOMER,CUS_017,CUS_014,Company,Company,客户关系-中南置地是新城控股的客户
CUS_REL_0033,IS_CUSTOMER,CUS_017,CUS_022,Company,Company,客户关系-中南置地是金科地产的客户
CUS_REL_0034,IS_CUSTOMER,CUS_017,ORG_005,Company,Company,客户关系-中南置地是国家电网集团公司的客户
CUS_REL_0035,IS_CUSTOMER,CUS_017,SUP_012,Company,Company,客户关系-中南置地是恒泰机电设备的客户
CUS_REL_0036,IS_CUSTOMER,CUS_018,CP_001,Company,Company,客户关系-正荣地产是中建设计研究院的客户
CUS_REL_0037,IS_CUSTOMER,CUS_019,ORG_017,Company,Company,客户关系-禹洲集团是中交华南建设公司的客户
CUS_REL_0038,IS_CUSTOMER,CUS_020,CP_009,Company,Company,客户关系-佳兆业集团是工程保险代理的客户
CUS_REL_0039,IS_CUSTOMER,CUS_020,CUS_001,Company,Company,客户关系-佳兆业集团是华润置地发展的客户
CUS_REL_0040,IS_CUSTOMER,CUS_020,CUS_006,Company,Company,客户关系-佳兆业集团是保利发展控股的客户
CUS_REL_0041,IS_CUSTOMER,CUS_021,CP_009,Company,Company,客户关系-远洋地产是工程保险代理的客户
CUS_REL_0042,IS_CUSTOMER,CUS_021,SUP_011,Company,Company,客户关系-远洋地产是中天建筑材料的客户
CUS_REL_0043,IS_CUSTOMER,CUS_022,CUS_017,Company,Company,客户关系-金科地产是中南置地的客户
CUS_REL_0044,IS_CUSTOMER,CUS_022,ORG_019,Company,Company,客户关系-金科地产是中能华东建设公司的客户
CUS_REL_0045,IS_CUSTOMER,CUS_022,SUP_017,Company,Company,客户关系-金科地产是远大建筑材料的客户
CUS_REL_0046,IS_CUSTOMER,CUS_023,CP_005,Company,Company,客户关系-荣盛发展是建筑安全评估的客户
