node_id,node_type,contract_no,contract_name,amount,sign_date,status,description
CON_001,Contract,HT2024000001,建材采购合同-宝山钢铁股份有限公司,5353380.00,2025-09-18,EXECUTING,风险传导场景：中国建筑股份有限公司向宝山钢铁股份有限公司采购核心建材和设备。
CON_002,Contract,HT2024000002,建材采购合同-中国铝业股份有限公司,9930954.00,2025-09-04,EXECUTING,风险传导场景：中国建筑股份有限公司向中国铝业股份有限公司采购核心建材和设备。
CON_003,Contract,HT2024000003,建材采购合同-紫金矿业集团股份有限公司,7317542.00,2025-09-29,EXECUTING,风险传导场景：中国建筑股份有限公司向紫金矿业集团股份有限公司采购核心建材和设备。
CON_004,Contract,HT2024000004,建材采购合同-江西铜业股份有限公司,7691282.00,2025-05-25,EXECUTING,风险传导场景：中国建筑股份有限公司向江西铜业股份有限公司采购核心建材和设备。
CON_005,Contract,HT2024000005,建材采购合同-中国北方稀土(集团)高科技股份有限公司,8980792.00,2025-10-08,EXECUTING,风险传导场景：中国建筑股份有限公司向中国北方稀土(集团)高科技股份有限公司采购核心建材和设备。
CON_006,Contract,HT2024000006,建材采购合同-安徽海螺水泥股份有限公司,9239553.00,2025-09-19,EXECUTING,风险传导场景：中国建筑股份有限公司向安徽海螺水泥股份有限公司采购核心建材和设备。
CON_007,Contract,HT2024000007,建材采购合同-天山材料股份有限公司,5712093.00,2025-06-11,EXECUTING,风险传导场景：中国建筑股份有限公司向天山材料股份有限公司采购核心建材和设备。
CON_008,Contract,HT2024000008,建材采购合同-中国中材国际工程股份有限公司,8640061.00,2025-07-24,EXECUTING,风险传导场景：中国建筑股份有限公司向中国中材国际工程股份有限公司采购核心建材和设备。
CON_009,Contract,HT2024000009,建材采购合同-中国有色金属建设股份有限公司,5786007.00,2025-07-15,EXECUTING,风险传导场景：中国建筑股份有限公司向中国有色金属建设股份有限公司采购核心建材和设备。
CON_010,Contract,HT2024000010,建材采购合同-中国巨石股份有限公司,6490568.00,2025-07-05,EXECUTING,风险传导场景：中国建筑股份有限公司向中国巨石股份有限公司采购核心建材和设备。
CON_011,Contract,HT2024000011,建材采购合同-特变电工股份有限公司,9919290.00,2025-07-25,EXECUTING,风险传导场景：国家电网有限公司向特变电工股份有限公司采购核心建材和设备。
CON_012,Contract,HT2024000012,循环交易合同-特变电工股份有限公司至中国建筑股份有限公司,9902595.00,2025-08-03,EXECUTING,风险传导场景：特变电工股份有限公司与中国建筑股份有限公司开展循环交易，涉及资金闭环监控。
CON_013,Contract,HT2024000013,集团内部协同协议-中国建筑股份有限公司与国家电网有限公司,9994149.00,2025-08-14,EXECUTING,中国建筑股份有限公司与国家电网有限公司之间的内部协同或总分包合作协议。
CON_014,Contract,HT2024000014,建材采购合同-中国有色金属建设股份有限公司,22643967.00,2025-07-04,COMPLETED,风险传导场景：金地(集团)股份有限公司向中国有色金属建设股份有限公司采购核心建材和设备。
CON_015,Contract,HT2024000015,建材采购合同-广联达科技股份有限公司,1880365.00,2025-05-09,EXECUTING,风险传导场景：中国建筑股份有限公司向广联达科技股份有限公司采购核心建材和设备。
CON_016,Contract,HT2024000016,建材采购合同-东方电气股份有限公司,35622292.00,2025-02-18,EXECUTING,风险传导场景：杭州滨江房产集团股份有限公司向东方电气股份有限公司采购核心建材和设备。
CON_017,Contract,HT2024000017,服务合作合同-启迪设计集团股份有限公司,3770394.00,2025-08-12,EXECUTING,华夏幸福基业股份有限公司委托启迪设计集团股份有限公司提供专业咨询/监理等第三方服务。
CON_018,Contract,HT2024000018,服务合作合同-华东建筑集团股份有限公司,34216238.00,2024-11-15,COMPLETED,珠海华发实业股份有限公司委托华东建筑集团股份有限公司提供专业咨询/监理等第三方服务。
CON_019,Contract,HT2024000019,建材采购合同-永兴特种材料科技股份有限公司,35121400.00,2025-07-29,EXECUTING,风险传导场景：中国中车集团有限公司向永兴特种材料科技股份有限公司采购核心建材和设备。
CON_020,Contract,HT2024000020,建材采购合同-中国中材国际工程股份有限公司,47746694.00,2025-10-25,EXECUTING,风险传导场景：中国石油集团工程股份有限公司向中国中材国际工程股份有限公司采购核心建材和设备。
CON_021,Contract,HT2024000021,服务合作合同-深圳市建筑科学研究院股份有限公司,28839916.00,2024-11-30,COMPLETED,南京栖霞建设股份有限公司委托深圳市建筑科学研究院股份有限公司提供专业咨询/监理等第三方服务。
CON_022,Contract,HT2024000022,服务合作合同-启迪设计集团股份有限公司,20484426.00,2025-03-28,COMPLETED,中建西部建设股份有限公司委托启迪设计集团股份有限公司提供专业咨询/监理等第三方服务。
CON_023,Contract,HT2024000023,建材采购合同-上海振华重工(集团)股份有限公司,8486756.00,2024-12-21,COMPLETED,风险传导场景：珠海华发实业股份有限公司向上海振华重工(集团)股份有限公司采购核心建材和设备。
CON_024,Contract,HT2024000024,建材采购合同-中国北方稀土(集团)高科技股份有限公司,31990947.00,2025-06-05,COMPLETED,风险传导场景：国家能源投资集团有限责任公司向中国北方稀土(集团)高科技股份有限公司采购核心建材和设备。
CON_025,Contract,HT2024000025,循环交易合同-万科企业股份有限公司至中国交通建设股份有限公司,41504682.00,2025-04-24,COMPLETED,风险传导场景：万科企业股份有限公司与中国交通建设股份有限公司开展循环交易，涉及资金闭环监控。
CON_026,Contract,HT2024000026,建材采购合同-福耀玻璃工业集团股份有限公司,23930751.00,2025-07-25,EXECUTING,风险传导场景：保利发展控股集团股份有限公司向福耀玻璃工业集团股份有限公司采购核心建材和设备。
CON_027,Contract,HT2024000027,建材采购合同-东方电气股份有限公司,46043614.00,2025-10-24,COMPLETED,风险传导场景：北京首都开发股份有限公司向东方电气股份有限公司采购核心建材和设备。
CON_028,Contract,HT2024000028,服务合作合同-海波重型工程科技股份有限公司,6848549.00,2025-04-20,EXECUTING,中国石油天然气股份有限公司委托海波重型工程科技股份有限公司提供专业咨询/监理等第三方服务。
CON_029,Contract,HT2024000029,建材采购合同-万华化学集团股份有限公司,6125396.00,2025-01-23,EXECUTING,风险传导场景：绿地控股集团股份有限公司向万华化学集团股份有限公司采购核心建材和设备。
CON_030,Contract,HT2024000030,服务合作合同-深圳市建筑科学研究院股份有限公司,12211274.00,2025-05-26,COMPLETED,中国石油集团资本股份有限公司委托深圳市建筑科学研究院股份有限公司提供专业咨询/监理等第三方服务。
CON_031,Contract,HT2024000031,建材采购合同-中国铝业股份有限公司,12379715.00,2025-05-24,EXECUTING,风险传导场景：中国建筑集团有限公司向中国铝业股份有限公司采购核心建材和设备。
CON_032,Contract,HT2024000032,循环交易合同-国家电网有限公司至珠海华发实业股份有限公司,47856538.00,2025-07-14,EXECUTING,风险传导场景：国家电网有限公司与珠海华发实业股份有限公司开展循环交易，涉及资金闭环监控。
CON_033,Contract,HT2024000033,循环交易合同-深圳华侨城股份有限公司至珠海华发实业股份有限公司,20733034.00,2025-02-09,EXECUTING,风险传导场景：深圳华侨城股份有限公司与珠海华发实业股份有限公司开展循环交易，涉及资金闭环监控。
CON_034,Contract,HT2024000034,循环交易合同-中国石油天然气集团有限公司至中国交通建设股份有限公司,42285448.00,2025-07-17,COMPLETED,风险传导场景：中国石油天然气集团有限公司与中国交通建设股份有限公司开展循环交易，涉及资金闭环监控。
CON_035,Contract,HT2024000035,服务合作合同-启迪设计集团股份有限公司,6959933.00,2025-03-01,EXECUTING,珠海珠免集团股份有限公司委托启迪设计集团股份有限公司提供专业咨询/监理等第三方服务。
CON_036,Contract,HT2024000036,服务合作合同-中工国际工程股份有限公司,34589155.00,2024-12-16,EXECUTING,龙源电力集团股份有限公司委托中工国际工程股份有限公司提供专业咨询/监理等第三方服务。
CON_037,Contract,HT2024000037,建材采购合同-中国振华(集团)科技股份有限公司,46083156.00,2025-09-17,EXECUTING,风险传导场景：南京栖霞建设股份有限公司向中国振华(集团)科技股份有限公司采购核心建材和设备。
CON_038,Contract,HT2024000038,服务合作合同-河北中瓷电子科技股份有限公司,3365261.00,2025-09-26,EXECUTING,招商局蛇口工业区控股股份有限公司委托河北中瓷电子科技股份有限公司提供专业咨询/监理等第三方服务。
CON_039,Contract,HT2024000039,建材采购合同-永兴特种材料科技股份有限公司,17447124.00,2025-02-15,EXECUTING,风险传导场景：中国中铁股份有限公司向永兴特种材料科技股份有限公司采购核心建材和设备。
CON_040,Contract,HT2024000040,服务合作合同-河北中瓷电子科技股份有限公司,38276702.00,2025-06-16,COMPLETED,北京万通新发展集团股份有限公司委托河北中瓷电子科技股份有限公司提供专业咨询/监理等第三方服务。
CON_041,Contract,HT2024000041,建材采购合同-特变电工股份有限公司,37054676.00,2025-06-02,COMPLETED,风险传导场景：华夏幸福基业股份有限公司向特变电工股份有限公司采购核心建材和设备。
CON_042,Contract,HT2024000042,建材采购合同-北京东方雨虹防水技术股份有限公司,13245858.00,2024-12-16,COMPLETED,风险传导场景：北京万通新发展集团股份有限公司向北京东方雨虹防水技术股份有限公司采购核心建材和设备。
CON_043,Contract,HT2024000043,建材采购合同-国电南瑞科技股份有限公司,15666248.00,2025-09-05,COMPLETED,风险传导场景：国网信息通信股份有限公司向国电南瑞科技股份有限公司采购核心建材和设备。
CON_044,Contract,HT2024000044,循环交易合同-中国建筑集团有限公司至中国交通建设股份有限公司,31870131.00,2025-11-05,COMPLETED,风险传导场景：中国建筑集团有限公司与中国交通建设股份有限公司开展循环交易，涉及资金闭环监控。
CON_045,Contract,HT2024000045,循环交易合同-国电电力发展股份有限公司至杭州滨江房产集团股份有限公司,13750999.00,2025-06-05,COMPLETED,风险传导场景：国电电力发展股份有限公司与杭州滨江房产集团股份有限公司开展循环交易，涉及资金闭环监控。
CON_046,Contract,HT2024000046,服务合作合同-河南省中工设计研究院集团股份有限公司,48526266.00,2025-07-25,EXECUTING,中国石油天然气集团有限公司委托河南省中工设计研究院集团股份有限公司提供专业咨询/监理等第三方服务。
CON_047,Contract,HT2024000047,循环交易合同-中国冶金科工股份有限公司至上海陆家嘴金融贸易区开发股份有限公司,16328447.00,2024-12-11,COMPLETED,风险传导场景：中国冶金科工股份有限公司与上海陆家嘴金融贸易区开发股份有限公司开展循环交易，涉及资金闭环监控。
CON_048,Contract,HT2024000048,循环交易合同-中国建筑股份有限公司至珠海珠免集团股份有限公司,30967638.00,2025-01-11,COMPLETED,风险传导场景：中国建筑股份有限公司与珠海珠免集团股份有限公司开展循环交易，涉及资金闭环监控。
CON_049,Contract,HT2024000049,循环交易合同-中国交通建设股份有限公司至苏宁环球股份有限公司,42505660.00,2025-06-29,EXECUTING,风险传导场景：中国交通建设股份有限公司与苏宁环球股份有限公司开展循环交易，涉及资金闭环监控。
CON_050,Contract,HT2024000050,建材采购合同-中国振华(集团)科技股份有限公司,33616243.00,2025-02-03,EXECUTING,风险传导场景：国家能源投资集团有限责任公司向中国振华(集团)科技股份有限公司采购核心建材和设备。
CON_051,Contract,HT2024000051,建材采购合同-福建三钢闽光股份有限公司,33948180.00,2025-09-21,COMPLETED,风险传导场景：中国电力建设股份有限公司向福建三钢闽光股份有限公司采购核心建材和设备。
CON_052,Contract,HT2024000052,循环交易合同-国家能源投资集团有限责任公司至衢州信安发展股份有限公司,31561745.00,2025-02-09,EXECUTING,风险传导场景：国家能源投资集团有限责任公司与衢州信安发展股份有限公司开展循环交易，涉及资金闭环监控。
CON_053,Contract,HT2024000053,建材采购合同-紫金矿业集团股份有限公司,40623106.00,2025-03-19,EXECUTING,风险传导场景：国电电力发展股份有限公司向紫金矿业集团股份有限公司采购核心建材和设备。
CON_054,Contract,HT2024000054,循环交易合同-中国中车股份有限公司至北京万通新发展集团股份有限公司,11896077.00,2024-11-25,EXECUTING,风险传导场景：中国中车股份有限公司与北京万通新发展集团股份有限公司开展循环交易，涉及资金闭环监控。
CON_055,Contract,HT2024000055,循环交易合同-中国中车集团有限公司至恒大地产集团有限公司,45118611.00,2025-06-28,COMPLETED,风险传导场景：中国中车集团有限公司与恒大地产集团有限公司开展循环交易，涉及资金闭环监控。
CON_056,Contract,HT2024000056,建材采购合同-宝山钢铁股份有限公司,47915328.00,2025-07-20,EXECUTING,风险传导场景：中国中铁股份有限公司向宝山钢铁股份有限公司采购核心建材和设备。
CON_057,Contract,HT2024000057,服务合作合同-华东建筑集团股份有限公司,36978712.00,2025-08-16,COMPLETED,国网信息通信股份有限公司委托华东建筑集团股份有限公司提供专业咨询/监理等第三方服务。
CON_058,Contract,HT2024000058,循环交易合同-苏宁环球股份有限公司至金科地产集团股份有限公司,8873829.00,2025-05-25,COMPLETED,风险传导场景：苏宁环球股份有限公司与金科地产集团股份有限公司开展循环交易，涉及资金闭环监控。
CON_059,Contract,HT2024000059,建材采购合同-中国北方稀土(集团)高科技股份有限公司,19752730.00,2024-12-06,COMPLETED,风险传导场景：金融街控股股份有限公司向中国北方稀土(集团)高科技股份有限公司采购核心建材和设备。
