node_id,node_type,event_type,event_no,event_name,amount,status,register_date,description
CASE_001,LegalEvent,Case,AJ202400001,中国建筑股份有限公司与宝山钢铁股份有限公司合同纠纷案件,4450308.00,N,2025-01-31,"案件简介：中国建筑股份有限公司与宝山钢铁股份有限公司围绕合同纠纷产生纠纷，争议金额约4,450,308.00元。"
CASE_002,LegalEvent,Case,AJ202400002,中国建筑股份有限公司与中国铝业股份有限公司劳动争议案件,1077045.00,I,2025-04-08,"案件简介：中国建筑股份有限公司与中国铝业股份有限公司围绕劳动争议产生纠纷，争议金额约1,077,045.00元。"
CASE_003,LegalEvent,Case,AJ202400003,中国建筑股份有限公司与紫金矿业集团股份有限公司侵权责任案件,3342093.00,I,2025-04-22,"案件简介：中国建筑股份有限公司与紫金矿业集团股份有限公司围绕侵权责任产生纠纷，争议金额约3,342,093.00元。"
CASE_004,LegalEvent,Case,AJ202400004,中国建筑股份有限公司与江西铜业股份有限公司债权债务案件,3316961.00,J,2025-06-09,"案件简介：中国建筑股份有限公司与江西铜业股份有限公司围绕债权债务产生纠纷，争议金额约3,316,961.00元。"
CASE_005,LegalEvent,Case,AJ202400005,中国建筑股份有限公司与中国北方稀土(集团)高科技股份有限公司工程款案件,1581739.00,I,2025-08-02,"案件简介：中国建筑股份有限公司与中国北方稀土(集团)高科技股份有限公司围绕工程款产生纠纷，争议金额约1,581,739.00元。"
CASE_006,LegalEvent,Case,AJ202400006,中国建筑股份有限公司与安徽海螺水泥股份有限公司合同纠纷案件,2959430.00,I,2025-02-04,"案件简介：中国建筑股份有限公司与安徽海螺水泥股份有限公司围绕合同纠纷产生纠纷，争议金额约2,959,430.00元。"
CASE_007,LegalEvent,Case,AJ202400007,中国建筑股份有限公司与天山材料股份有限公司劳动争议案件,1965755.00,N,2025-03-06,"案件简介：中国建筑股份有限公司与天山材料股份有限公司围绕劳动争议产生纠纷，争议金额约1,965,755.00元。"
CASE_008,LegalEvent,Case,AJ202400008,中国建筑股份有限公司与中国中材国际工程股份有限公司侵权责任案件,3955037.00,I,2025-06-18,"案件简介：中国建筑股份有限公司与中国中材国际工程股份有限公司围绕侵权责任产生纠纷，争议金额约3,955,037.00元。"
CASE_009,LegalEvent,Case,AJ202400009,恒大地产集团有限公司与南京栖霞建设股份有限公司债权债务案件,2623926.00,F,2025-06-27,"案件简介：恒大地产集团有限公司与南京栖霞建设股份有限公司围绕债权债务产生纠纷，争议金额约2,623,926.00元。"
CASE_010,LegalEvent,Case,AJ202400010,恒大地产集团有限公司与广联达科技股份有限公司工程款案件,2433623.00,F,2025-06-21,"案件简介：恒大地产集团有限公司与广联达科技股份有限公司围绕工程款产生纠纷，争议金额约2,433,623.00元。"
DISP_001,LegalEvent,Dispute,JF202400001,合同履约争议-国家电网有限公司与特变电工股份有限公司,1068465.00,B,2025-09-14,"纠纷简述：国家电网有限公司与特变电工股份有限公司就合同履约争议产生分歧，争议金额约1,068,465.00元。"
DISP_002,LegalEvent,Dispute,JF202400002,质量争议-特变电工股份有限公司与中国建筑股份有限公司,1035908.00,C,2025-05-07,"纠纷简述：特变电工股份有限公司与中国建筑股份有限公司就质量争议产生分歧，争议金额约1,035,908.00元。"
DISP_003,LegalEvent,Dispute,JF202400003,付款争议-中国建筑股份有限公司与国家电网有限公司,2105480.00,F,2025-05-27,"纠纷简述：中国建筑股份有限公司与国家电网有限公司就付款争议产生分歧，争议金额约2,105,480.00元。"
DISP_004,LegalEvent,Dispute,JF202400004,工期争议-金地(集团)股份有限公司与中国有色金属建设股份有限公司,1740152.00,F,2025-06-08,"纠纷简述：金地(集团)股份有限公司与中国有色金属建设股份有限公司就工期争议产生分歧，争议金额约1,740,152.00元。"
DISP_005,LegalEvent,Dispute,JF202400005,争议-中国建筑股份有限公司与广联达科技股份有限公司,1111698.00,G,2025-07-25,"纠纷简述：中国建筑股份有限公司与广联达科技股份有限公司就争议产生分歧，争议金额约1,111,698.00元。"
DISP_006,LegalEvent,Dispute,JF202400006,合同履约争议-杭州滨江房产集团股份有限公司与东方电气股份有限公司,579304.00,C,2025-05-12,"纠纷简述：杭州滨江房产集团股份有限公司与东方电气股份有限公司就合同履约争议产生分歧，争议金额约579,304.00元。"
DISP_007,LegalEvent,Dispute,JF202400007,质量争议-华夏幸福基业股份有限公司与启迪设计集团股份有限公司,2878290.00,B,2025-07-29,"纠纷简述：华夏幸福基业股份有限公司与启迪设计集团股份有限公司就质量争议产生分歧，争议金额约2,878,290.00元。"
DISP_008,LegalEvent,Dispute,JF202400008,付款争议-珠海华发实业股份有限公司与华东建筑集团股份有限公司,2620676.00,B,2025-07-19,"纠纷简述：珠海华发实业股份有限公司与华东建筑集团股份有限公司就付款争议产生分歧，争议金额约2,620,676.00元。"
DISP_009,LegalEvent,Dispute,JF202400009,付款争议-恒大地产集团有限公司与南京栖霞建设股份有限公司,958125.00,F,2025-07-08,"纠纷简述：恒大地产集团有限公司与南京栖霞建设股份有限公司就付款争议产生分歧，争议金额约958,125.00元。"
DISP_010,LegalEvent,Dispute,JF202400010,付款争议-恒大地产集团有限公司与广联达科技股份有限公司,537927.00,F,2025-07-22,"纠纷简述：恒大地产集团有限公司与广联达科技股份有限公司就付款争议产生分歧，争议金额约537,927.00元。"
