FID,FNUMBER,FNAME,FARTIFICIALPERSON,FTAXNO,FSTATUS,FBUSINESSSCOPE,FCREATETIME
1,CUS0001,华润置地发展,刘涛,201095851111474,C,房地产开发、物业管理,2024-06-18
2,CUS0002,万科房地产,赵芳,366619820349710,C,房地产开发、物业管理,2024-11-24
3,CUS0003,碧桂园地产,张平,130058004611267,C,房地产开发、物业管理,2024-02-04
4,CUS0004,恒大地产集团,李勇,781738464461600,C,房地产开发、物业管理,2024-10-12
5,CUS0005,融创中国地产,吴伟,341537817954606,C,房地产开发、物业管理,2025-02-18
6,CUS0006,保利发展控股,刘超,754743113902975,C,房地产开发、物业管理,2024-10-05
7,CUS0007,中海地产集团,孙静,640394357031946,C,房地产开发、物业管理,2024-03-11
8,CUS0008,龙湖地产,罗艳,973702670078560,C,房地产开发、物业管理,2024-09-01
9,CUS0009,绿地控股集团,徐洋,609701831403258,C,房地产开发、物业管理,2025-04-12
10,CUS0010,世茂房地产,陈军,725796650449112,C,房地产开发、物业管理,2023-12-26
11,CUS0011,金地集团,张芳,381737929257872,C,房地产开发、物业管理,2024-01-29
12,CUS0012,招商蛇口,王超,462037549589645,C,房地产开发、物业管理,2024-04-01
13,CUS0013,华夏幸福基业,王敏,698067273909071,C,房地产开发、物业管理,2024-06-17
14,CUS0014,新城控股,陈静,668269150122800,C,房地产开发、物业管理,2023-12-10
15,CUS0015,阳光城集团,何静,400746012183601,C,房地产开发、物业管理,2024-04-14
16,CUS0016,旭辉控股,朱艳,501133560400291,C,房地产开发、物业管理,2023-11-06
17,CUS0017,中南置地,吴伟,788006451056594,C,房地产开发、物业管理,2024-12-11
18,CUS0018,正荣地产,罗芳,663894150986498,C,房地产开发、物业管理,2023-11-25
19,CUS0019,禹洲集团,胡超,603137718520662,C,房地产开发、物业管理,2024-08-20
20,CUS0020,佳兆业集团,陈磊,336039921019197,C,房地产开发、物业管理,2024-06-06
21,CUS0021,远洋地产,陈明,644333735076818,C,房地产开发、物业管理,2025-04-15
22,CUS0022,金科地产,胡静,377502264305036,C,房地产开发、物业管理,2024-12-26
23,CUS0023,荣盛发展,刘杰,270970571843440,C,房地产开发、物业管理,2023-09-28
24,CUS0024,泰禾集团,郭强,424469310442610,C,房地产开发、物业管理,2023-09-09
25,CUS0025,富力地产,张平,585419948914253,C,房地产开发、物业管理,2024-01-10
26,CUS0026,雅居乐地产,郭磊,823007609859625,C,房地产开发、物业管理,2024-12-23
27,CUS0027,合景泰富,吴涛,652842030598250,C,房地产开发、物业管理,2024-09-14
28,CUS0028,奥园集团,黄霞,316463445637653,C,房地产开发、物业管理,2024-07-02
29,CUS0029,花样年控股,黄涛,109695723380757,C,房地产开发、物业管理,2024-01-15
30,CUS0030,当代置业,王磊,171827271396922,C,房地产开发、物业管理,2025-04-01
