node_id,node_type,contract_no,contract_name,amount,sign_date,status,description
CON_001,Contract,HT2024000001,建材采购合同-华信建材有限公司,5353380.00,2025-09-18,EXECUTING,风险传导场景-中建华东分公司采购华信建材有限公司建材
CON_002,Contract,HT2024000002,建材采购合同-东方钢铁集团,9930954.00,2025-09-04,EXECUTING,风险传导场景-中建华东分公司采购东方钢铁集团建材
CON_003,Contract,HT2024000003,建材采购合同-盛达水泥制造,7317542.00,2025-09-29,EXECUTING,风险传导场景-中建华东分公司采购盛达水泥制造建材
CON_004,Contract,HT2024000004,建材采购合同-鑫源建筑材料,7691282.00,2025-05-25,EXECUTING,风险传导场景-中建华东分公司采购鑫源建筑材料建材
CON_005,Contract,HT2024000005,建材采购合同-宏图机械设备,8980792.00,2025-10-08,EXECUTING,风险传导场景-中建华东分公司采购宏图机械设备建材
CON_006,Contract,HT2024000006,建材采购合同-天成电气设备,9239553.00,2025-09-19,EXECUTING,风险传导场景-中建华东分公司采购天成电气设备建材
CON_007,Contract,HT2024000007,建材采购合同-瑞丰五金制品,5712093.00,2025-06-11,EXECUTING,风险传导场景-中建华东分公司采购瑞丰五金制品建材
CON_008,Contract,HT2024000008,建材采购合同-博达工程机械,8640061.00,2025-07-24,EXECUTING,风险传导场景-中建华东分公司采购博达工程机械建材
CON_009,Contract,HT2024000009,建材采购合同-金石建材供应,5786007.00,2025-07-15,EXECUTING,风险传导场景-中建华东分公司采购金石建材供应建材
CON_010,Contract,HT2024000010,建材采购合同-永盛钢构工程,6490568.00,2025-07-05,EXECUTING,风险传导场景-中建华东分公司采购永盛钢构工程建材
CON_011,Contract,HT2024000011,循环交易合同-国家电网集团公司至中天建筑材料,9919290.00,2025-07-25,EXECUTING,循环交易场景-第1环
CON_012,Contract,HT2024000012,循环交易合同-中天建筑材料至华润置地发展,9902595.00,2025-08-03,EXECUTING,循环交易场景-第2环
CON_013,Contract,HT2024000013,循环交易合同-华润置地发展至国家电网集团公司,9994149.00,2025-08-14,EXECUTING,循环交易场景-第3环
CON_014,Contract,HT2024000014,旭辉控股与金石建材供应合作合同,22643967.00,2025-07-04,COMPLETED,常规业务合同
CON_015,Contract,HT2024000015,中建华东分公司与腾飞机械设备合作合同,1880365.00,2025-05-09,EXECUTING,常规业务合同
CON_016,Contract,HT2024000016,金科地产与远大建筑材料合作合同,35622292.00,2025-02-18,EXECUTING,常规业务合同
CON_017,Contract,HT2024000017,远洋地产与工程保险代理合作合同,3770394.00,2025-08-12,EXECUTING,常规业务合同
CON_018,Contract,HT2024000018,中南置地与中建设计研究院合作合同,34216238.00,2024-11-15,COMPLETED,常规业务合同
CON_019,Contract,HT2024000019,中铁华东工程公司与金鼎建筑器材合作合同,35121400.00,2025-07-29,EXECUTING,常规业务合同
CON_020,Contract,HT2024000020,中石油华南销售公司与博达工程机械合作合同,47746694.00,2025-10-25,EXECUTING,常规业务合同
CON_021,Contract,HT2024000021,雅居乐地产与建筑安全评估合作合同,28839916.00,2024-11-30,COMPLETED,常规业务合同
CON_022,Contract,HT2024000022,中建华南分公司与工程保险代理合作合同,20484426.00,2025-03-28,COMPLETED,常规业务合同
CON_023,Contract,HT2024000023,中南置地与恒泰机电设备合作合同,8486756.00,2024-12-21,COMPLETED,常规业务合同
CON_024,Contract,HT2024000024,中交华南建设公司与宏图机械设备合作合同,31990947.00,2025-06-05,COMPLETED,常规业务合同
CON_025,Contract,HT2024000025,金地集团与恒大地产集团合作合同,41504682.00,2025-04-24,COMPLETED,常规业务合同
CON_026,Contract,HT2024000026,招商蛇口与博瑞工程设备合作合同,23930751.00,2025-07-25,EXECUTING,常规业务合同
CON_027,Contract,HT2024000027,富力地产与远大建筑材料合作合同,46043614.00,2025-10-24,COMPLETED,常规业务合同
CON_028,Contract,HT2024000028,中石油华东销售公司与建筑法律咨询合作合同,6848549.00,2025-04-20,EXECUTING,常规业务合同
CON_029,Contract,HT2024000029,阳光城集团与恒信机械设备合作合同,6125396.00,2025-01-23,EXECUTING,常规业务合同
CON_030,Contract,HT2024000030,中国铁路工程集团与建筑安全评估合作合同,12211274.00,2025-05-26,COMPLETED,常规业务合同
CON_031,Contract,HT2024000031,中央建设集团有限公司与东方钢铁集团合作合同,12379715.00,2025-05-24,EXECUTING,常规业务合同
CON_032,Contract,HT2024000032,国家电网集团公司与中南置地合作合同,47856538.00,2025-07-14,EXECUTING,常规业务合同
CON_033,Contract,HT2024000033,新城控股与中南置地合作合同,20733034.00,2025-02-09,EXECUTING,常规业务合同
CON_034,Contract,HT2024000034,中国石油天然气集团与恒大地产集团合作合同,42285448.00,2025-07-17,COMPLETED,常规业务合同
CON_035,Contract,HT2024000035,佳兆业集团与工程保险代理合作合同,6959933.00,2025-03-01,EXECUTING,常规业务合同
CON_036,Contract,HT2024000036,中能华南建设公司与建筑质量检测中心合作合同,34589155.00,2024-12-16,EXECUTING,常规业务合同
CON_037,Contract,HT2024000037,雅居乐地产与鑫达建筑材料合作合同,46083156.00,2025-09-17,EXECUTING,常规业务合同
CON_038,Contract,HT2024000038,华夏幸福基业与建筑金融服务合作合同,3365261.00,2025-09-26,EXECUTING,常规业务合同
CON_039,Contract,HT2024000039,碧桂园地产与金鼎建筑器材合作合同,17447124.00,2025-02-15,EXECUTING,常规业务合同
CON_040,Contract,HT2024000040,花样年控股与建筑金融服务合作合同,38276702.00,2025-06-16,COMPLETED,常规业务合同
CON_041,Contract,HT2024000041,远洋地产与中天建筑材料合作合同,37054676.00,2025-06-02,COMPLETED,常规业务合同
CON_042,Contract,HT2024000042,花样年控股与锦绣建筑材料合作合同,13245858.00,2024-12-16,COMPLETED,常规业务合同
CON_043,Contract,HT2024000043,国网华中电力公司与兴业钢铁贸易合作合同,15666248.00,2025-09-05,COMPLETED,常规业务合同
CON_044,Contract,HT2024000044,中央建设集团有限公司与恒大地产集团合作合同,31870131.00,2025-11-05,COMPLETED,常规业务合同
CON_045,Contract,HT2024000045,中能华东建设公司与金科地产合作合同,13750999.00,2025-06-05,COMPLETED,常规业务合同
CON_046,Contract,HT2024000046,中国石油天然气集团与环境影响评价合作合同,48526266.00,2025-07-25,EXECUTING,常规业务合同
CON_047,Contract,HT2024000047,融创中国地产与合景泰富合作合同,16328447.00,2024-12-11,COMPLETED,常规业务合同
CON_048,Contract,HT2024000048,华润置地发展与佳兆业集团合作合同,30967638.00,2025-01-11,COMPLETED,常规业务合同
CON_049,Contract,HT2024000049,恒大地产集团与奥园集团合作合同,42505660.00,2025-06-29,EXECUTING,常规业务合同
CON_050,Contract,HT2024000050,中交华南建设公司与鑫达建筑材料合作合同,33616243.00,2025-02-03,EXECUTING,常规业务合同
CON_051,Contract,HT2024000051,保利发展控股与天宇建材供应合作合同,33948180.00,2025-09-21,COMPLETED,常规业务合同
CON_052,Contract,HT2024000052,中交华南建设公司与禹洲集团合作合同,31561745.00,2025-02-09,EXECUTING,常规业务合同
CON_053,Contract,HT2024000053,中能华东建设公司与盛达水泥制造合作合同,40623106.00,2025-03-19,EXECUTING,常规业务合同
CON_054,Contract,HT2024000054,世茂房地产与花样年控股合作合同,11896077.00,2024-11-25,EXECUTING,常规业务合同
CON_055,Contract,HT2024000055,中铁华东工程公司与当代置业合作合同,45118611.00,2025-06-28,COMPLETED,常规业务合同
CON_056,Contract,HT2024000056,碧桂园地产与华信建材有限公司合作合同,47915328.00,2025-07-20,EXECUTING,常规业务合同
CON_057,Contract,HT2024000057,国网华中电力公司与中建设计研究院合作合同,36978712.00,2025-08-16,COMPLETED,常规业务合同
CON_058,Contract,HT2024000058,奥园集团与荣盛发展合作合同,8873829.00,2025-05-25,COMPLETED,常规业务合同
CON_059,Contract,HT2024000059,泰禾集团与宏图机械设备合作合同,19752730.00,2024-12-06,COMPLETED,常规业务合同
CON_060,Contract,HT2024000060,中能华东建设公司与金地集团合作合同,15098380.00,2025-09-11,EXECUTING,常规业务合同
CON_061,Contract,HT2024000061,碧桂园地产与华美电气设备合作合同,23578613.00,2025-01-31,COMPLETED,常规业务合同
CON_062,Contract,HT2024000062,中央建设集团有限公司与中建设计研究院合作合同,46151121.00,2025-03-25,EXECUTING,常规业务合同
CON_063,Contract,HT2024000063,金地集团与鑫达建筑材料合作合同,2210275.00,2025-06-30,EXECUTING,常规业务合同
CON_064,Contract,HT2024000064,中交华南建设公司与建筑安全评估合作合同,30612164.00,2025-01-04,COMPLETED,常规业务合同
CON_065,Contract,HT2024000065,国网华北电力公司与建筑安全评估合作合同,26316877.00,2025-05-14,COMPLETED,常规业务合同
CON_066,Contract,HT2024000066,国网华北电力公司与工程测绘服务合作合同,6642117.00,2025-05-19,EXECUTING,常规业务合同
CON_067,Contract,HT2024000067,保利发展控股与佳兆业集团合作合同,28056437.00,2024-12-12,EXECUTING,常规业务合同
CON_068,Contract,HT2024000068,中央建设集团有限公司与工程保险代理合作合同,8077355.00,2025-05-24,COMPLETED,常规业务合同
CON_069,Contract,HT2024000069,正荣地产与中建设计研究院合作合同,27556163.00,2025-08-23,COMPLETED,常规业务合同
CON_070,Contract,HT2024000070,中国铁路工程集团与荣盛发展合作合同,7016580.00,2025-03-19,EXECUTING,常规业务合同
CON_071,Contract,HT2024000071,荣盛发展与华信建材有限公司合作合同,42405980.00,2025-09-05,COMPLETED,常规业务合同
CON_072,Contract,HT2024000072,碧桂园地产与当代置业合作合同,44650278.00,2025-05-24,COMPLETED,常规业务合同
CON_073,Contract,HT2024000073,中国石油天然气集团与工程测绘服务合作合同,40351400.00,2025-06-11,COMPLETED,常规业务合同
CON_074,Contract,HT2024000074,中建西部分公司与建筑安全评估合作合同,6905221.00,2025-04-26,EXECUTING,常规业务合同
CON_075,Contract,HT2024000075,泰禾集团与盛世建材集团合作合同,45922344.00,2025-03-06,COMPLETED,常规业务合同
CON_076,Contract,HT2024000076,富力地产与阳光城集团合作合同,21601136.00,2025-01-17,EXECUTING,常规业务合同
CON_077,Contract,HT2024000077,国网华北电力公司与华东工程监理合作合同,14580304.00,2025-04-04,COMPLETED,常规业务合同
CON_078,Contract,HT2024000078,合景泰富与建筑法律咨询合作合同,47359595.00,2025-09-02,COMPLETED,常规业务合同
CON_079,Contract,HT2024000079,中央建设集团有限公司与博瑞工程设备合作合同,30484412.00,2025-09-16,COMPLETED,常规业务合同
CON_080,Contract,HT2024000080,中国铁路工程集团与远大建筑材料合作合同,35772805.00,2025-04-16,EXECUTING,常规业务合同
CON_081,Contract,HT2024000081,中南置地与建筑金融服务合作合同,17744102.00,2025-07-10,COMPLETED,常规业务合同
CON_082,Contract,HT2024000082,国网华北电力公司与天宇建材供应合作合同,18599835.00,2025-10-02,COMPLETED,常规业务合同
CON_083,Contract,HT2024000083,奥园集团与合景泰富合作合同,28097905.00,2025-09-16,COMPLETED,常规业务合同
CON_084,Contract,HT2024000084,华润置地发展与荣盛发展合作合同,2907251.00,2025-06-23,COMPLETED,常规业务合同
CON_085,Contract,HT2024000085,中国铁路工程集团与瑞祥机电设备合作合同,43059321.00,2025-09-07,EXECUTING,常规业务合同
CON_086,Contract,HT2024000086,阳光城集团与工程保险代理合作合同,31303099.00,2025-02-07,EXECUTING,常规业务合同
CON_087,Contract,HT2024000087,荣盛发展与建筑安全评估合作合同,12882357.00,2025-07-30,EXECUTING,常规业务合同
CON_088,Contract,HT2024000088,中南置地与金科地产合作合同,39816333.00,2024-12-31,EXECUTING,常规业务合同
CON_089,Contract,HT2024000089,碧桂园地产与花样年控股合作合同,31576707.00,2025-08-08,COMPLETED,常规业务合同
CON_090,Contract,HT2024000090,当代置业与雅居乐地产合作合同,38649992.00,2025-06-27,EXECUTING,常规业务合同
CON_091,Contract,HT2024000091,中建华东分公司与工程造价咨询合作合同,13047051.00,2024-11-25,COMPLETED,常规业务合同
CON_092,Contract,HT2024000092,中铁华南工程公司与建筑金融服务合作合同,14833173.00,2025-06-01,COMPLETED,常规业务合同
CON_093,Contract,HT2024000093,中建华东分公司与工程测绘服务合作合同,8092959.00,2025-01-13,COMPLETED,常规业务合同
CON_094,Contract,HT2024000094,中能华南建设公司与兴业钢铁贸易合作合同,11775682.00,2025-09-17,EXECUTING,常规业务合同
CON_095,Contract,HT2024000095,富力地产与华夏幸福基业合作合同,47538615.00,2025-02-28,COMPLETED,常规业务合同
CON_096,Contract,HT2024000096,合景泰富与工程造价咨询合作合同,8188715.00,2025-05-15,EXECUTING,常规业务合同
CON_097,Contract,HT2024000097,招商蛇口与工程测绘服务合作合同,15703900.00,2025-06-13,COMPLETED,常规业务合同
CON_098,Contract,HT2024000098,中石油华南销售公司与中建设计研究院合作合同,27374484.00,2025-05-10,EXECUTING,常规业务合同
CON_099,Contract,HT2024000099,当代置业与腾飞机械设备合作合同,47283599.00,2025-08-10,EXECUTING,常规业务合同
CON_100,Contract,HT2024000100,中石油华南销售公司与工程保险代理合作合同,42685344.00,2025-04-13,COMPLETED,常规业务合同
