FID,FBILLNO,FNAME,FCASETYPEID,FDISPUTEAMOUNT,FDISPUTESTATUS,FRELATECONTRACTID,FRELATECONTRACTNAME,FREGISTDATE,FBILLSTATUS,FDISPUTEINTRODUCTION,FDESCRIPTION
1,JF202400001,合同纠纷-1,1,1068465.00,B,11,循环交易合同-国家电网集团公司至中天建筑材料,2025-09-14,C,纠纷简述：合同纠纷相关纠纷,纠纷详情：涉及金额1068465元
2,JF202400002,质量纠纷-2,2,1035908.00,C,12,循环交易合同-中天建筑材料至华润置地发展,2025-05-07,C,纠纷简述：质量纠纷相关纠纷,纠纷详情：涉及金额1035908元
3,JF202400003,付款纠纷-3,3,2105480.00,F,13,循环交易合同-华润置地发展至国家电网集团公司,2025-05-27,C,纠纷简述：付款纠纷相关纠纷,纠纷详情：涉及金额2105480元
4,JF202400004,工期纠纷-4,4,1740152.00,F,14,旭辉控股与金石建材供应合作合同,2025-06-08,C,纠纷简述：工期纠纷相关纠纷,纠纷详情：涉及金额1740152元
5,JF202400005,变更纠纷-5,5,1111698.00,G,15,中建华东分公司与腾飞机械设备合作合同,2025-07-25,C,纠纷简述：变更纠纷相关纠纷,纠纷详情：涉及金额1111698元
6,JF202400006,合同纠纷-6,1,579304.00,C,16,金科地产与远大建筑材料合作合同,2025-05-12,C,纠纷简述：合同纠纷相关纠纷,纠纷详情：涉及金额579304元
7,JF202400007,质量纠纷-7,2,2878290.00,B,17,远洋地产与工程保险代理合作合同,2025-07-29,C,纠纷简述：质量纠纷相关纠纷,纠纷详情：涉及金额2878290元
8,JF202400008,付款纠纷-8,3,2620676.00,B,18,中南置地与中建设计研究院合作合同,2025-07-19,C,纠纷简述：付款纠纷相关纠纷,纠纷详情：涉及金额2620676元
9,JF202400009,工期纠纷-9,4,958125.00,C,19,中铁华东工程公司与金鼎建筑器材合作合同,2025-07-08,C,纠纷简述：工期纠纷相关纠纷,纠纷详情：涉及金额958125元
10,JF202400010,变更纠纷-10,5,537927.00,C,20,中石油华南销售公司与博达工程机械合作合同,2025-07-22,C,纠纷简述：变更纠纷相关纠纷,纠纷详情：涉及金额537927元
